image,qual_mos,dist_prob
VizWiz_train_00000683,0.613243243243243,"[0.2702702702702703, 0.05405405405405406, 0.24324324324324326, 0.02702702702702703, 0.21621621621621623, 0.35135135135135137, 0.0]"
VizWiz_train_00000449,0.38,"[0.6153846153846154, 0.2692307692307692, 0.038461538461538464, 0.0, 0.2692307692307692, 0.11538461538461539, 0.0]"
VizWiz_train_00000931,0.6625,"[0.25, 0.07142857142857142, 0.25, 0.07142857142857142, 0.21428571428571427, 0.4642857142857143, 0.0]"
VizWiz_train_00000453,0.315428571428571,"[0.3142857142857143, 0.17142857142857143, 0.5714285714285714, 0.2571428571428571, 0.17142857142857143, 0.02857142857142857, 0.0]"
VizWiz_train_00000335,0.762058823529412,"[0.11764705882352941, 0.0, 0.23529411764705882, 0.029411764705882353, 0.11764705882352941, 0.5588235294117647, 0.029411764705882353]"
VizWiz_train_00000539,0.6992,"[0.28, 0.04, 0.08, 0.08, 0.16, 0.44, 0.0]"
VizWiz_train_00000867,0.29125,"[0.5833333333333334, 0.8333333333333334, 0.0, 0.0, 0.25, 0.0, 0.0]"
VizWiz_train_00000627,0.506129032258064,"[0.16129032258064516, 0.03225806451612903, 0.6774193548387096, 0.3225806451612903, 0.1935483870967742, 0.06451612903225806, 0.0]"
VizWiz_train_00000123,0.512333333333333,"[0.23333333333333334, 0.16666666666666666, 0.1, 0.4666666666666667, 0.3, 0.16666666666666666, 0.0]"
VizWiz_train_00000734,0.316470588235294,"[0.7352941176470589, 0.2647058823529412, 0.3235294117647059, 0.029411764705882353, 0.08823529411764706, 0.0, 0.0]"
VizWiz_train_00000314,0.682727272727273,"[0.12121212121212122, 0.15151515151515152, 0.09090909090909091, 0.09090909090909091, 0.2727272727272727, 0.5454545454545454, 0.0]"
VizWiz_train_00000078,0.381153846153846,"[0.5, 0.5, 0.11538461538461539, 0.0, 0.2692307692307692, 0.0, 0.0]"
VizWiz_train_00000086,0.538148148148148,"[0.25925925925925924, 0.1111111111111111, 0.1111111111111111, 0.037037037037037035, 0.18518518518518517, 0.37037037037037035, 0.0]"
